,Stock_Name,Adjusted_Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Label,negative_score,neutral_score,positive_score
0,ADANIENT.NS,2024-09-02,3021.10009765625,3059.14990234375,2997.60009765625,3042.14990234375,1842658,0.0,0.0,-1,0.9925599,0.00410687,0.00333328
1,ADANIENT.NS,2024-09-03,3037.0,3053.050048828125,3023.800048828125,3036.10009765625,1371577,0.0,0.0,-1,0.9723575,0.02349763,0.0041449
2,ADANIENT.NS,2024-09-04,3010.0,3025.0,2955.199951171875,3012.35009765625,1212270,0.0,0.0,1,0.99182266,0.00512065,0.00305672
3,ADANIENT.NS,2024-09-05,3025.0,3037.89990234375,3002.0,3015.35009765625,734273,0.0,0.0,1,0.73144704,0.25279617,0.01575672
4,ADANIENT.NS,2024-09-06,3019.0,3025.0,2968.0,2975.449951171875,1251165,0.0,0.0,-1,0.99148566,0.00545666,0.00305766
5,ADANIENT.NS,2024-09-09,2972.10009765625,2972.5,2927.300048828125,2964.14990234375,1523581,0.0,0.0,1,0.9926071,0.00421057,0.00318232
6,ADANIENT.NS,2024-09-10,2971.60009765625,3007.39990234375,2947.60009765625,2986.39990234375,803782,0.0,0.0,1,0.97505885,0.02100683,0.00393426
7,ADANIENT.NS,2024-09-11,2985.0,2992.949951171875,2928.0,2937.85009765625,888628,0.0,0.0,1,0.9911554,0.00561827,0.00322633
8,ADANIENT.NS,2024-09-12,2950.0,3000.0,2917.14990234375,2991.0,1314173,0.0,0.0,-1,0.99162793,0.00505079,0.0033213
9,ADANIENT.NS,2024-09-13,2972.0,3001.949951171875,2956.050048828125,2968.35009765625,815948,0.0,0.0,1,0.99252856,0.00422563,0.00324589
10,ADANIENT.NS,2024-09-16,2972.0,3026.39990234375,2972.0,2984.89990234375,695162,0.0,0.0,1,0.99270153,0.00417074,0.00312771
14,ADANIENT.NS,2024-09-20,2948.14990234375,3025.0,2942.050048828125,3008.5,1787210,0.0,0.0,1,0.992714,0.00418342,0.00310259
15,ADANIENT.NS,2024-09-23,3020.0,3070.0,3015.25,3043.949951171875,897314,0.0,0.0,1,0.99272835,0.00418866,0.00308307
16,ADANIENT.NS,2024-09-24,3055.0,3101.0,3040.25,3093.89990234375,1021918,0.0,0.0,1,0.0969482,0.8527281,0.05032364
18,ADANIENT.NS,2024-09-26,3085.0,3148.0,3085.0,3122.64990234375,1548019,0.0,0.0,1,0.9849134,0.01158522,0.00350129
19,ADANIENT.NS,2024-09-27,3122.0,3179.0,3116.0,3130.300048828125,2297441,0.0,0.0,1,0.9897684,0.00655127,0.00368039
20,ADANIENT.NS,2024-09-30,3129.0,3209.89990234375,3120.39990234375,3135.85009765625,1607429,0.0,0.0,1,0.99249834,0.0043678,0.00313384
21,ADANIENT.NS,2024-10-01,3136.300048828125,3192.0,3107.0,3186.10009765625,1367116,0.0,0.0,-1,0.9916801,0.00535984,0.00296009
22,ADANIENT.NS,2024-10-03,3150.0,3196.35009765625,3084.10009765625,3116.0,1309703,0.0,0.0,1,0.06218817,0.8859157,0.05189611
23,ADANIENT.NS,2024-10-04,3119.89990234375,3149.5,3070.0,3110.64990234375,987583,0.0,0.0,-1,0.99076676,0.00600573,0.00322755
24,ADANIENT.NS,2024-10-07,3110.64990234375,3128.5,2980.449951171875,3018.0,1743454,0.0,0.0,-1,0.99223197,0.00442436,0.00334361
