Adjusted_Date,Date,Title,Description,URL,Stock_Name,Date_Formated,full_news,news_combined
2024-12-02,2024-12-02,japanese exchange dmm bitcoin to shut down transfer assets to sbi group unit after 300 million hack,the japanese crypto exchange announced plans to cease operations after completing the asset transfer to sbi vc trade,https://biztoc.com/x/fd9935b88d2b2a1b,SBIN.NS,2024-12-02, ---title--- japanese exchange dmm bitcoin to shut down transfer assets to sbi group unit after 300 million hack ---body--- the japanese crypto exchange announced plans to cease operations after completing the asset transfer to sbi vc trade ---newarticle--- ," ---title--- japanese exchange dmm bitcoin to shut down transfer assets to sbi group unit after 300 million hack ---body--- the japanese crypto exchange announced plans to cease operations after completing the asset transfer to sbi vc trade ---newarticle---   ---title--- sbi customers how to activate an inoperative sbi bank account ---body--- inoperative sbi bank account the bank emphasised the importance of carrying out regular transactions in accounts and preventing categorization into inoperative accounts according to the sbi press release on november 30 2024 ---newarticle---   ---title--- customers parking more funds in term deposits in search of higher returns sbi research ---body--- sbi report shows rise in term deposits surpassing savings accounts cd ratio varies across regions in india ---newarticle---   ---title--- sbi to launch saudi arabias first japanese equity fund ---body--- tokyo  japans sbi holdings and saudi arabias albilad capital have reached a basic agreement to provide investment funds to each other including what will be saudi arabias first japaneseequity mutual fund
sbi will launch the fund in the first half of f ---newarticle---   ---title--- stocks to buy today sbi icici bank among top 9 trading ideas for 2 december 2024 ---body--- the indian market is expected to trade higher on monday driven by positive global cues nifty futures gained 084 on friday and india vix fell by over 5 options data suggests a trading range between 23600 to 24600 with immediate support at 24000 exp ---newarticle---   ---title--- japanese sbi vc trade partners with dmm bitcoin and metaplanet for asset transfers and btc giveaway ---body--- sbi vc trade a subsidiary of japans financial powerhouse sbi holdings has revealed new collaborations with dmm bitcoin and metaplanet sbi holdings is a leader in internet banking in japan and a global leader in blockchain technologies as of march 2024 t ---newarticle---   ---title--- credit card changes in december 2024 sbi au small finance bank axis bank yes bank credit card rule changes ---body--- au small finance bank has revised its reward points axis bank has made several changes to the general terms and conditions of most of its credit cards sbi has revised utility bill payments fees and yes bank has revised reward point redemption category ---newarticle---   ---title--- japanese crypto exchange dmm bitcoin is shutting down and plans to transfer accounts and assets to crypto firm sbi vc trade by march after a 300m hack in may ---body--- japanese crypto service shuts down after theft of bitcoin worth 308 million
a popular japanese cryptocurrency platform is shutting down less than six months after hackers siphoned more than 300 million worth of coins from the site
dmm bitcoin said on monda ---newarticle--- "
2024-11-30,2024-11-30,sbi cards time to discard,the stock of sbi cards and payment services has been underperforming since its peak in 2021 plagued by weak financial performance and worsening asset quality its gross npa ratio has risen to a 12quarter high of 33 and credit costs have surged denting p,https://www.thehindubusinessline.com/portfolio/sbi-cards-time-to-discard/article68928042.ece,SBIN.NS,2024-11-30, ---title--- sbi cards time to discard ---body--- the stock of sbi cards and payment services has been underperforming since its peak in 2021 plagued by weak financial performance and worsening asset quality its gross npa ratio has risen to a 12quarter high of 33 and credit costs have surged denting p ---newarticle--- , ---title--- sbi cards time to discard ---body--- the stock of sbi cards and payment services has been underperforming since its peak in 2021 plagued by weak financial performance and worsening asset quality its gross npa ratio has risen to a 12quarter high of 33 and credit costs have surged denting p ---newarticle---   ---title--- sbi launches nationwide drive to reactivate inoperative acs including pmjdy accounts ---body--- as at septemberend 2024 sbis domestic deposits stood at 4910528 crore and total deposits including domestic and foreign offices deposits were at 5117285 crore ---newarticle---   ---title--- indias gdp expected to fall below 65 pc in fy25 amid slowdown in gdp growth in second quarter sbi ---body--- indias gdp is likely to drop below 65 per cent in fy25 with q2 growth slowing to 54 per cent the manufacturing sector faced significant declines impacting overall economic performance despite resilience in services and agriculture sectors industrial s ---newarticle--- 
2024-12-05,2024-12-05,sbi chief setty wants branch staff to ask for deposits,this comes amid intense competition for savers money from relatively higher yielding investment alternatives combo deposit product in the works,https://www.thehindubusinessline.com/money-and-banking/sbi-chief-setty-wants-branch-staff-to-ask-for-deposits/article68941642.ece,SBIN.NS,2024-12-05, ---title--- sbi chief setty wants branch staff to ask for deposits ---body--- this comes amid intense competition for savers money from relatively higher yielding investment alternatives combo deposit product in the works ---newarticle--- , ---title--- sbi chief setty wants branch staff to ask for deposits ---body--- this comes amid intense competition for savers money from relatively higher yielding investment alternatives combo deposit product in the works ---newarticle---   ---title--- star health manipal among worst insurers in claims settlement sbi general leads the pack ---body--- the claims paid ratio in terms of amount gives a better picture of claims experience than a settlement ratio on the number of claims ---newarticle---   ---title--- canara bank revises fixed deposit fd rates how do they compare with pnb icici hdfc sbi union bank ---body--- canara bank has updated its fixed deposit interest rates for amounts below  3 crore effective december 1 2024 offering rates from 4 to 740 for the general public and 4 to 790 for senior citizens on callable deposits ---newarticle--- 
2024-12-03,2024-12-03,sbi shinsei bank raises interest rate to 03 for depositors aged 28 and under,starting in december sbi shinsei bank has raised the interest rate for ordinary savings accounts to 03about three times the standard ratefor all depositors aged 28 and under news on japan,https://newsonjapan.com/article/144308.php,SBIN.NS,2024-12-03, ---title--- sbi shinsei bank raises interest rate to 03 for depositors aged 28 and under ---body--- starting in december sbi shinsei bank has raised the interest rate for ordinary savings accounts to 03about three times the standard ratefor all depositors aged 28 and under news on japan ---newarticle--- , ---title--- sbi shinsei bank raises interest rate to 03 for depositors aged 28 and under ---body--- starting in december sbi shinsei bank has raised the interest rate for ordinary savings accounts to 03about three times the standard ratefor all depositors aged 28 and under news on japan ---newarticle---   ---title--- japanese crypto exchange to shut down after 300m hack transfer accounts to sbi ---body--- japanese crypto exchange dmm bitcoin will transfer customer accounts and assets to sbi vc trade by march 2025 following a massive cyberattack ---newarticle---   ---title--- substantial drop in credit growth yoy across sectors as momentum turned negative sbi ---body--- credit growth across all sectors has significantly declined with substantial slowdowns in agriculture industry services and personal loans despite credit to housing and consumer durables sharply falling chemicals construction and rubberplasticpaper  ---newarticle---   ---title--- how to activate inoperative bank accounts in sbi hdfc bank and pnb as rbi asks banks to reduce these accounts ---body--- rbi has advised banks to urgently take the necessary steps to reduce the number of inoperative or frozen accounts and make the activation process of such accounts smoother some of the ways suggested by the apex bank include enabling seamless updation of kyc  ---newarticle---   ---title--- sbi mf launches quant fund based on four factors ---body--- sbi mutual fund launching active quant fund with rulebased approach integrating momentum value quality and growth factors ---newarticle--- 
2024-12-14,2024-12-14,sbi mclr from december 15 2024 check latest sbi mclr base rate here,sbi lending rates the state bank of india sbi has announced the latest marginal cost of fundsbased lending rates mclr on loans for the period between december 15 and january 15 2025 the latest mclr is effective from december 15 2024,https://economictimes.indiatimes.com/wealth/borrow/sbi-mclr-from-december-15-2024-check-latest-sbi-mclr-base-rate-here/articleshow/116309644.cms,SBIN.NS,2024-12-14, ---title--- sbi mclr from december 15 2024 check latest sbi mclr base rate here ---body--- sbi lending rates the state bank of india sbi has announced the latest marginal cost of fundsbased lending rates mclr on loans for the period between december 15 and january 15 2025 the latest mclr is effective from december 15 2024 ---newarticle--- , ---title--- sbi mclr from december 15 2024 check latest sbi mclr base rate here ---body--- sbi lending rates the state bank of india sbi has announced the latest marginal cost of fundsbased lending rates mclr on loans for the period between december 15 and january 15 2025 the latest mclr is effective from december 15 2024 ---newarticle--- 
2024-12-06,2024-12-06,readyforと株式会社sbi証券が業務提携を開始,"readyfor株式会社
画像 httpsprcdnfreetlsfastlynetrelease_image3132538631325386977f3b2292f0f490cf15f866bd3155751200x628pngwidth536quality852c75formatjpegautowebpfitboundsam",https://prtimes.jp/main/html/rd/p/000000386.000031325.html,SBIN.NS,2024-12-06," ---title--- readyforと株式会社sbi証券が業務提携を開始 ---body--- readyfor株式会社
画像 httpsprcdnfreetlsfastlynetrelease_image3132538631325386977f3b2292f0f490cf15f866bd3155751200x628pngwidth536quality852c75formatjpegautowebpfitboundsam ---newarticle--- "," ---title--- readyforと株式会社sbi証券が業務提携を開始 ---body--- readyfor株式会社
画像 httpsprcdnfreetlsfastlynetrelease_image3132538631325386977f3b2292f0f490cf15f866bd3155751200x628pngwidth536quality852c75formatjpegautowebpfitboundsam ---newarticle---   ---title--- latest personal loan interest rates for december 2024  see what hdfc sbi and top banks offer ---body--- personal loans when considering a personal loan interest rates are crucial as they determine borrowing costs rates vary by lender with options ranging from 999 to 24 per annum for loans up to  50 lakhs depending on the bank and tenure ---newarticle---   ---title--- brokers call sbi cards neutral ---body--- sbi cards poised for growth in indias credit card market with rising consumer spending and digital adoption despite nearterm challenges ---newarticle---   ---title--- sbi clerk notification 2024 out for junior associate heres how fill the form direct link and more ---body--- state bank of india announced 50 junior associate vacancies for ladakh ut  the application period is from december 7 to 27 2024  selection involves prelims mains and a language test  exams are scheduled for january and february 2025  graduates aged 20  ---newarticle--- "
2024-12-08,2024-12-08,sbi research anticipates rbi repo rate cut in february policy meet,sbi research believes that gdp growth for 202425 will be lower than the rbis estimate and it pegged the gdp growth at 63 per cent for 202425,https://www.thehindubusinessline.com/money-and-banking/sbi-research-anticipates-rbi-repo-rate-cut-in-february-policy-meet/article68961208.ece,SBIN.NS,2024-12-08, ---title--- sbi research anticipates rbi repo rate cut in february policy meet ---body--- sbi research believes that gdp growth for 202425 will be lower than the rbis estimate and it pegged the gdp growth at 63 per cent for 202425 ---newarticle--- , ---title--- sbi research anticipates rbi repo rate cut in february policy meet ---body--- sbi research believes that gdp growth for 202425 will be lower than the rbis estimate and it pegged the gdp growth at 63 per cent for 202425 ---newarticle--- 
2024-12-16,2024-12-16,indian firms see revenue surge in fy24 but employee wage growth slows sbi report,sbi report 4000 indian companies see 6 revenue growth in fy24 with 28 ebidta and 32 pat increase,https://www.thehindubusinessline.com/companies/indian-firms-see-revenue-surge-in-fy24-but-employee-wage-growth-slows-sbi-report/article68990673.ece,SBIN.NS,2024-12-16, ---title--- indian firms see revenue surge in fy24 but employee wage growth slows sbi report ---body--- sbi report 4000 indian companies see 6 revenue growth in fy24 with 28 ebidta and 32 pat increase ---newarticle--- , ---title--- indian firms see revenue surge in fy24 but employee wage growth slows sbi report ---body--- sbi report 4000 indian companies see 6 revenue growth in fy24 with 28 ebidta and 32 pat increase ---newarticle---   ---title--- latest lending rates in december 2024 sbi hdfc bank pnb canara bank idbi bank ---body--- every time the repo rate fluctuates banks that use the marginal costbased lending rates mclr system modify their interest rates the goal of this implementation is to increase transparency of the processes banks use to calculate loan interest rates ---newarticle---   ---title--- indian companies revenue surge in fy24 however wage growth of employees moderate sbi report ---body--- indian listed companies saw a 6 revenue growth in fy24 but profits ebidta and pat surged by 28 and 32 respectively  employee expenses moderated to 13 growth down from 17 in fy23 indicating cost optimization efforts  companies maintained a steady  ---newarticle--- 
2024-12-11,2024-12-11,sbi chief urges pension funds insurers mfs to boost corporate bond market liquidity,time to strategise on deepening corporate bonds markets pension funds insurers and mfs sticking to aaa bonds rues sbi chairman setty,https://www.thehindubusinessline.com/economy/sbi-chief-urges-pension-funds-insurers-mfs-to-boost-corporate-bond-market-liquidity/article68973475.ece,SBIN.NS,2024-12-11, ---title--- sbi chief urges pension funds insurers mfs to boost corporate bond market liquidity ---body--- time to strategise on deepening corporate bonds markets pension funds insurers and mfs sticking to aaa bonds rues sbi chairman setty ---newarticle--- , ---title--- sbi chief urges pension funds insurers mfs to boost corporate bond market liquidity ---body--- time to strategise on deepening corporate bonds markets pension funds insurers and mfs sticking to aaa bonds rues sbi chairman setty ---newarticle--- 
2024-12-13,2024-12-13,sbi chief to head panel to recommend fresh list of accounts for narcl  dfs,till date narcl has acquired 22 accounts with exposure of 95711 crore dfs secretary nagaraju chairs review meeting on narcl and nclt,https://www.thehindubusinessline.com/economy/sbi-chief-to-head-panel-to-recommend-fresh-list-of-accounts-for-narcl-dfs/article68982618.ece,SBIN.NS,2024-12-13, ---title--- sbi chief to head panel to recommend fresh list of accounts for narcl  dfs ---body--- till date narcl has acquired 22 accounts with exposure of 95711 crore dfs secretary nagaraju chairs review meeting on narcl and nclt ---newarticle--- , ---title--- sbi chief to head panel to recommend fresh list of accounts for narcl  dfs ---body--- till date narcl has acquired 22 accounts with exposure of 95711 crore dfs secretary nagaraju chairs review meeting on narcl and nclt ---newarticle---   ---title--- nifty can deliver up to 10 return in 2025 sbi bharti airtel among top stock picks ---body--- jefferies 2025 market outlook sets a nifty target of 26000 expecting a 10 return with top stock picks including icici bank bharti airtel sbi axis bank and jsw energy ---newarticle---   ---title--- sbi bharti airtel among jefferies 9 top stock picks for cy25 ---body--- global brokerage firm jefferies has unveiled its 2025 market outlook setting a bullish nifty target of 26000 which translates to a projected 10 return for cy25additionally jefferies favoring largecap stocks over smallcap peers in its 2025 outlook ha ---newarticle--- 
